Date,Close,High,Low,Open,Volume
2026-02-01,22.170000076293945,22.18000030517578,21.899999618530273,22.0,404897
2026-02-02,22.200000762939453,22.329999923706055,22.149999618530273,22.170000076293945,831081
2026-02-03,22.3700008392334,22.549999237060547,22.25,22.200000762939453,678847
2026-02-04,23.100000381469727,23.440000534057617,22.520000457763672,22.3700008392334,3202254
2026-02-05,23.25,23.360000610351562,22.860000610351562,23.100000381469727,1894387
2026-02-08,23.34000015258789,23.649999618530273,23.299999237060547,23.25,2120528
2026-02-09,23.420000076293945,23.540000915527344,23.209999084472656,23.34000015258789,1580275
2026-02-10,23.239999771118164,23.670000076293945,23.219999313354492,23.420000076293945,837467
2026-02-11,23.290000915527344,23.56999969482422,23.149999618530273,23.239999771118164,1075905
2026-02-12,23.25,23.350000381469727,23.1299991607666,23.290000915527344,461223
2026-02-15,23.600000381469727,23.790000915527344,23.229999542236328,23.25,1425754
2026-02-16,24.149999618530273,24.389999389648438,23.649999618530273,23.600000381469727,7665972
2026-02-17,23.899999618530273,24.270000457763672,23.850000381469727,24.149999618530273,3383514
2026-02-18,23.700000762939453,24.079999923706055,23.649999618530273,23.899999618530273,1627585
2026-02-19,22.979999542236328,23.8799991607666,22.799999237060547,23.700000762939453,1575968
2026-02-22,22.5,23.010000228881836,22.299999237060547,22.979999542236328,882645
2026-02-23,22.8799991607666,22.979999542236328,22.399999618530273,22.5,671106
2026-02-24,22.510000228881836,22.969999313354492,22.510000228881836,22.8799991607666,671126
2026-02-25,22.799999237060547,22.950000762939453,21.93000030517578,22.510000228881836,1481577
2026-02-26,22.75,22.8700008392334,22.299999237060547,22.799999237060547,666499
2026-03-01,21.889999389648438,22.1299991607666,21.010000228881836,22.75,1029642
2026-03-02,22.0,22.170000076293945,21.809999465942383,21.889999389648438,529036
2026-03-03,21.899999618530273,22.18000030517578,21.5,22.0,749585
2026-03-04,22.010000228881836,22.31999969482422,21.799999237060547,21.899999618530273,1386945
2026-03-05,22.329999923706055,22.639999389648438,22.06999969482422,22.010000228881836,968249
2026-03-08,23.0,23.0,22.25,22.329999923706055,1253071
2026-03-09,23.0,23.489999771118164,22.950000762939453,23.0,2489204
2026-03-10,23.059999465942383,23.299999237060547,23.0,23.0,695417
2026-03-11,22.8700008392334,23.170000076293945,22.75,23.059999465942383,756423
2026-03-12,22.8799991607666,22.969999313354492,22.649999618530273,22.8700008392334,577216
2026-03-15,22.5,22.899999618530273,22.459999084472656,22.8799991607666,1733137
2026-03-16,22.100000381469727,22.6299991607666,22.010000228881836,22.5,696859
2026-03-17,22.25,22.450000762939453,22.149999618530273,22.100000381469727,360171
2026-03-18,22.40999984741211,22.540000915527344,22.299999237060547,22.25,862101
2026-03-19,22.40999984741211,22.40999984741211,22.40999984741211,22.40999984741211,0
2026-03-24,22.56999969482422,22.940000534057617,22.420000076293945,22.40999984741211,468843
2026-03-25,22.700000762939453,22.75,22.56999969482422,22.56999969482422,351749
2026-03-26,22.399999618530273,22.760000228881836,22.270000457763672,22.700000762939453,1084553
2026-03-29,22.0,22.479999542236328,21.920000076293945,22.399999618530273,1597313
2026-03-30,21.959999084472656,22.200000762939453,21.8799991607666,22.0,992679
2026-03-31,21.950000762939453,22.5,21.700000762939453,21.959999084472656,953746
2026-04-01,22.280000686645508,22.530000686645508,22.059999465942383,21.950000762939453,949725
2026-04-02,22.170000076293945,22.34000015258789,22.030000686645508,22.280000686645508,321608
2026-04-05,22.399999618530273,22.5,22.270000457763672,22.170000076293945,497319
2026-04-06,22.59000015258789,22.709999084472656,22.5,22.399999618530273,456417
2026-04-07,22.299999237060547,22.6299991607666,22.020000457763672,22.59000015258789,486938
2026-04-08,22.6299991607666,22.850000381469727,22.530000686645508,22.299999237060547,865807
2026-04-09,22.690000534057617,22.93000030517578,22.549999237060547,22.6299991607666,982093
2026-04-14,22.899999618530273,22.93000030517578,22.549999237060547,22.690000534057617,798114
2026-04-15,22.93000030517578,23.15999984741211,22.860000610351562,22.899999618530273,1246039
2026-04-16,22.799999237060547,23.299999237060547,22.649999618530273,22.93000030517578,1926558
2026-04-19,22.780000686645508,22.979999542236328,22.719999313354492,22.799999237060547,722377
2026-04-20,22.799999237060547,22.8799991607666,22.719999313354492,22.780000686645508,711529
2026-04-21,22.799999237060547,23.0,22.780000686645508,22.799999237060547,899310
2026-04-22,22.729999542236328,22.950000762939453,22.649999618530273,22.799999237060547,1413911
2026-04-23,22.75,22.84000015258789,22.600000381469727,22.729999542236328,1671736
2026-04-26,22.770000457763672,23.100000381469727,22.75,22.75,1840663
2026-04-27,22.899999618530273,23.280000686645508,22.829999923706055,22.770000457763672,2356721
2026-04-28,23.0,23.239999771118164,22.850000381469727,22.899999618530273,2884302
2026-04-29,23.15999984741211,23.200000762939453,22.93000030517578,23.0,1986063
2026-04-30,22.950000762939453,23.25,22.920000076293945,23.15999984741211,2484187
