Date,Close,High,Low,Open,Volume,return_1d,return_5d,return_10d,ma_10,ma_50,ma_ratio_10,ma_ratio_50,rsi,macd,macd_signal,macd_hist,volatility_10,volatility_20,volume_avg_10,volume_ratio,target
2026-04-15,22.93000030517578,23.15999984741211,22.860000610351562,22.899999618530273,1246039,0.0013100736744655617,0.01505091413418791,0.04417127782983332,22.48400001525879,22.689599990844727,1.019836340936413,1.0105951763992338,56.76691944976654,0.042949046685535563,-0.04330030242547729,0.08624934911101285,0.008929497702824486,0.010707842903755005,755780.6,1.6486782010546448,0
2026-04-16,22.799999237060547,23.299999237060547,22.649999618530273,22.93000030517578,1926558,-0.005669475202139007,0.022421525430774247,0.038724302714204795,22.5689998626709,22.702199974060058,1.0102352508217132,1.0043079200743645,51.87966797838532,0.058284614366161946,-0.022983319067149448,0.0812679334333114,0.00938312056815248,0.010066199518177396,853061.8,2.25840378739266,0
2026-04-19,22.780000686645508,22.979999542236328,22.719999313354492,22.799999237060547,722377,-0.0008771294335191415,0.006628437094198469,0.022441651013938024,22.618999862670897,22.71379997253418,1.007117946193559,1.0029145591750996,57.983212133937485,0.06804012218121969,-0.004778630817475619,0.07281875299869531,0.00859073532215738,0.009094978708180455,830327.0,0.8699909794574908,1
2026-04-20,22.799999237060547,22.8799991607666,22.719999313354492,22.780000686645508,711529,0.0008778994649794036,0.004847893363326472,0.028416741479412533,22.68199977874756,22.72239994049072,1.005202339276255,1.0034151012557238,69.99998092651367,0.07650326626110271,0.011477748598240047,0.06502551766286266,0.008239430280636287,0.00901168412989251,869319.1,0.818490011320354,0
2026-04-21,22.799999237060547,23.0,22.780000686645508,22.799999237060547,899310,0.0,-0.004366828957883873,0.017857126131349377,22.721999740600587,22.71639991760254,1.003432774287053,1.0036801306439946,71.4285853305359,0.08226210260561118,0.025634619399714273,0.0566274832058969,0.007827712287298146,0.00890543353184666,909518.2,0.9887762553844442,0
2026-04-22,22.729999542236328,22.950000762939453,22.649999618530273,22.799999237060547,1413911,-0.003070162156428413,-0.008722231150354975,0.006197405431730418,22.73599967956543,22.705999908447264,0.9997360952932061,1.0010569732179087,69.30689610240006,0.08025253032424473,0.036558201584620365,0.043694328739624366,0.007580367468422254,0.008948136222981993,1005267.6,1.4065021094880608,1
2026-04-23,22.75,22.84000015258789,22.600000381469727,22.729999542236328,1671736,0.0008799145695761457,-0.002192949067264638,0.020179407100229474,22.780999755859376,22.694199905395507,0.9986392275935386,1.0024587821926794,63.742662010210445,0.07935899846871663,0.04511836096143962,0.034240637507277016,0.005931534431742923,0.0088213528607571,1123747.4,1.4876439313674943,1
2026-04-26,22.770000457763672,23.100000381469727,22.75,22.75,1840663,0.0008791410006010469,-0.00043899159703264523,0.0061865356689800866,22.794999885559083,22.6811999130249,0.9989032933572749,1.0039151607974575,68.51852069884276,0.07935003995941514,0.051964696761034726,0.027385343198380416,0.0038754226616925353,0.008733340096895047,1221233.0,1.5072168865400788,1
2026-04-27,22.899999618530273,23.280000686645508,22.829999923706055,22.770000457763672,2356721,0.005709229607076205,0.0043859817901739095,0.00925513792551258,22.81599979400635,22.674399909973143,1.0036816192707887,1.0099495338113844,66.44736346775954,0.08880905064765088,0.05933356753835796,0.02947548310929292,0.004163147939486737,0.008214174296401353,1358695.8,1.7345464672813442,1
2026-04-28,23.0,23.239999771118164,22.850000381469727,22.899999618530273,2884302,0.004366828957883762,0.008771963580347819,0.004366828957883762,22.82599983215332,22.6685998916626,1.0076228935917881,1.0146193461405302,64.33565594105627,0.10318512591211615,0.0681038792131096,0.035081246699006544,0.0032676065257427737,0.0069090466525882485,1567314.6,1.8402827358336353,1
2026-04-29,23.15999984741211,23.200000762939453,22.93000030517578,23.0,1986063,0.006956515104874272,0.018917743679526478,0.010030507595955473,22.848999786376954,22.66679988861084,1.013611101752497,1.0217586938264314,83.07696596407726,0.12603605446373578,0.07969031426323485,0.04634574020050093,0.0038673540315368534,0.006915868314503407,1641317.0,1.2100423013957693,0
2026-04-30,22.950000762939453,23.25,22.920000076293945,23.15999984741211,2484187,-0.009067318042151107,0.008791242327008897,0.00657901451308307,22.863999938964845,22.653799896240233,1.0037614076366421,1.0130751074016673,63.55940833318516,0.1257508315822733,0.08890241772704253,0.03684841385523076,0.004599011484102118,0.00737466116599847,1697079.9,1.463800849918734,0
