Price,Close,High,Low,Open,Volume
Ticker,ORWE.CA,ORWE.CA,ORWE.CA,ORWE.CA,ORWE.CA
Date,,,,,
2018-01-01,5.32365083694458,5.32365083694458,5.32365083694458,5.32365083694458,0
2018-01-02,5.32365083694458,5.32365083694458,5.32365083694458,5.32365083694458,0
2018-01-03,5.272307395935059,5.333277649159813,5.224173396218239,5.320441854696098,142612
2018-01-04,5.339695930480957,5.419919881171866,5.297979365951064,5.272307775177053,496533
2018-01-07,5.339695930480957,5.339695930480957,5.339695930480957,5.339695930480957,0
2018-01-08,5.355740070343018,5.4487998099076576,5.262680789822598,5.3396955567543465,1383151
2018-01-09,5.538650989532471,5.615665765060334,5.3268598977865755,5.35574066813166,670477
2018-01-10,5.657382011413574,5.695889396999993,5.583576418561727,5.538650676333326,499633
2018-01-11,5.650963306427002,5.7247693477779595,5.593202236300063,5.657381203107773,810342
2018-01-14,5.589993476867676,5.647754551318229,5.519396608094778,5.650963729420923,584697
2018-01-15,5.580367565155029,5.583576743662873,5.5193973049044445,5.589994182590016,1952946
2018-01-16,5.5193963050842285,5.52260548301074,5.468053130613548,5.580366554290256,1724920
2018-01-17,5.461636066436768,5.5161884271505235,5.423128679713266,5.519397146522019,174199
2018-01-18,5.448800086975098,5.468053779687071,5.4070835232437,5.461635882116413,274756
2018-01-21,5.448800086975098,5.448800086975098,5.448800086975098,5.448800086975098,0
2018-01-22,5.246636390686035,5.407083839331943,5.195293207119344,5.304397931242832,324921
2018-01-23,5.220964431762695,5.2787255092134435,5.143949202784126,5.246636021740805,465553
2018-01-24,5.121487140655518,5.179248216871709,5.015591604737051,5.2209643201724,1059894
2018-01-25,5.121487140655518,5.121487140655518,5.121487140655518,5.121487140655518,0
2018-01-28,5.208128929138184,5.278725805541027,5.1343228742858065,5.121487537620462,1266390
2018-01-29,5.137531757354736,5.227382322156065,5.102233550704905,5.2081286296986375,2502553
2018-01-30,5.127905368804932,5.182457734267102,5.07335346238706,5.137532445845908,179520
2018-01-31,5.0444722175598145,5.134322785981751,4.941785853649031,5.127904888237326,522988
2018-02-01,5.121487140655518,5.262680882517319,5.005964529178906,5.044471913323033,423687
2018-02-04,5.025218486785889,5.102233718187894,4.989919819933125,5.121487411277332,144024
2018-02-05,5.005965232849121,5.038054724146597,4.9738757415516455,5.0252189276276065,1327990
2018-02-06,4.951412200927734,5.066934354032252,4.8134276364638975,5.005964558304761,1467204
2018-02-07,5.025218486785889,5.070143770661244,5.00596479369645,4.95141243375425,106056
2018-02-08,5.005965232849121,5.0861887315706635,4.916114657216189,5.0252189276276065,104661
2018-02-11,4.925740718841553,4.989919694189061,4.909696204526796,4.935367794665799,406612
2018-02-12,5.012382984161377,5.0829803219904255,4.941786105376608,4.925741130676112,412261
2018-02-13,4.970666408538818,5.070144057993923,4.832681829766845,5.012382975452201,283102
2018-02-14,4.970666408538818,4.970666408538818,4.970666408538818,4.970666408538818,0
2018-02-15,4.967457294464111,5.0220096531647656,4.941785704262449,4.948203601812865,59569
2018-02-18,5.025218486785889,5.050890077571807,4.980293202910533,4.967457407517574,38023
2018-02-19,5.0284271240234375,5.082979942119322,4.95462153124092,5.025218404749706,182592
2018-02-20,5.0284271240234375,5.0284271240234375,5.0284271240234375,5.0284271240234375,0
2018-02-21,4.8776068687438965,4.925740872231321,4.845516921026606,4.961039539293788,153730
2018-02-22,4.797382831573486,4.877606781340646,4.739621752997061,4.877606781340646,564949
2018-02-25,4.819845676422119,4.842308547490085,4.78775572945524,4.797382805354153,105778
2018-02-26,4.989920616149902,5.06693540079652,4.7813391372541405,4.81984652957745,2264623
2018-02-27,5.153576374053955,5.211337452575131,5.034845497726997,4.989919755388503,2200534
2018-02-28,5.150367736816406,5.182457225394922,5.118278248237891,5.1535764561521304,795652
2018-03-01,5.1311140060424805,5.1599947750734865,5.102233696055724,5.150367699048401,366354
2018-03-04,5.137531757354736,5.21775570544947,5.102233550704905,5.131113859868927,107905
